Country,Date,Confirmed,New_confirmed,Deaths,New_deaths
Italy,1/22/20,0,0,0,0
Italy,1/23/20,0,0,0,0
Italy,1/24/20,0,0,0,0
Italy,1/25/20,0,0,0,0
Italy,1/26/20,0,0,0,0
Italy,1/27/20,0,0,0,0
Italy,1/28/20,0,0,0,0
Italy,1/29/20,0,0,0,0
Italy,1/30/20,0,0,0,0
Italy,1/31/20,2,2,0,0
Italy,01/02/20,2,0,0,0
Italy,02/02/20,2,0,0,0
Italy,03/02/20,2,0,0,0
Italy,04/02/20,2,0,0,0
Italy,05/02/20,2,0,0,0
Italy,06/02/20,2,0,0,0
Italy,07/02/20,3,1,0,0
Italy,08/02/20,3,0,0,0
Italy,09/02/20,3,0,0,0
Italy,10/02/20,3,0,0,0
Italy,11/02/20,3,0,0,0
Italy,12/02/20,3,0,0,0
Italy,2/13/20,3,0,0,0
Italy,2/14/20,3,0,0,0
Italy,2/15/20,3,0,0,0
Italy,2/16/20,3,0,0,0
Italy,2/17/20,3,0,0,0
Italy,2/18/20,3,0,0,0
Italy,2/19/20,3,0,0,0
Italy,2/20/20,3,0,0,0
Italy,2/21/20,20,17,1,1
Italy,2/22/20,62,42,2,1
Italy,2/23/20,155,93,3,1
Italy,2/24/20,229,74,7,4
Italy,2/25/20,322,93,10,3
Italy,2/26/20,453,131,12,2
Italy,2/27/20,655,202,17,5
Italy,2/28/20,888,233,21,4
Italy,2/29/20,1128,240,29,8
Italy,01/03/20,1694,566,34,5
Italy,02/03/20,2036,342,52,18
Italy,03/03/20,2502,466,79,27
Italy,04/03/20,3089,587,107,28
Italy,05/03/20,3858,769,148,41
Italy,06/03/20,4636,778,197,49
Italy,07/03/20,5883,1247,233,36
Italy,08/03/20,7375,1492,366,133
Italy,09/03/20,9172,1797,463,97
Italy,10/03/20,10149,977,631,168
Italy,11/03/20,12462,2313,827,196
Italy,12/03/20,12462,0,827,0
Italy,3/13/20,17660,5198,1266,439
Italy,3/14/20,21157,3497,1441,175
Italy,3/15/20,24747,3590,1809,368
Italy,3/16/20,27980,3233,2158,349
Italy,3/17/20,31506,3526,2503,345
Italy,3/18/20,35713,4207,2978,475
Italy,3/19/20,41035,5322,3405,427
Italy,3/20/20,47021,5986,4032,627
Italy,3/21/20,53578,6557,4825,793
Italy,3/22/20,59138,5560,5476,651
Italy,3/23/20,63927,4789,6077,601
Italy,3/24/20,69176,5249,6820,743
Italy,3/25/20,74386,5210,7503,683
Italy,3/26/20,80589,6203,8215,712
Italy,3/27/20,86498,5909,9134,919
Italy,3/28/20,92472,5974,10023,889
Italy,3/29/20,97689,5217,10779,756
Italy,3/30/20,101739,4050,11591,812
Italy,3/31/20,105792,4053,12428,837
Italy,01/04/20,110574,4782,13155,727
Italy,02/04/20,115242,4668,13915,760
Italy,03/04/20,119827,4585,14681,766
Italy,04/04/20,124632,4805,15362,681
Italy,05/04/20,128948,4316,15887,525
Italy,06/04/20,132547,3599,16523,636
Italy,07/04/20,135586,3039,17127,604
Italy,08/04/20,139422,3836,17669,542
Italy,09/04/20,143626,4204,18279,610
Italy,10/04/20,147577,3951,18849,570
